Player,Nationality,Team,Position
Ronaldo,Brazil,FC Barcelona,Striker
Takehiro Tomiyasu,Japan,Arsenal,Centre-back
Memphis Depay,Netherlands,Barcelona,Forward
Michael Jordan,American,Chicago Bulls,Shooting Guard
Gareth Bale,Wales,Real Madrid,Striker
Stephen Curry,American,Golden State Warriors,Point guard
Dwyane Wade,American,Miami Heat,Shooting guard
Lionel Messi,Argentina,Paris Saint-Germain,Forward
Kobe Bryant,American,Los Angeles Lakers,Point guard
Tom Brady,American,Tampa Bay Buccaneers,Quarterback
Romelu Lukaku,Belgium,Chelsea,Striker
Patrick Mahomes,American,Kansas City Chiefs,Quarterback
Jeff Garcia,American,Kansas City Chiefs,Quarterback
Harry Kane,England,Tottenham Hotspur,Striker
Neymar,Brazil,Paris Saint-Germain,Forward
Radamel Falcao,Colombia,Rayo Vallecano, Forward
LeBron James,American,Los Angeles Lakers,Small Forward/Power Forward
Yao Ming,China,Houston Rockets,Center
Shaquille O'Neal,American,Boston Celtics,Center
Aaron Rodgers,American,Green Bay Packers,Quarterback
Pau Gasol,Spain,FC Barcelona,Center/Power Forward
Michael Oher,American,Carolina Panthers,Offensive tackle
Drew Brees,American,New Orleans Saints,Quarterback
Cristiano Ronaldo,Portugal,Manchester United,Striker
Jimmy Greaves,England,Tottenham Hotspur,Striker
Erling Haaland,England,Norway national football team,Striker
Zlatan Ibrahimovi?,Sweden,Sweden national football team,Striker
Mohamed Salah,Egypt,Egypt national football team,Forward
Antoine Griezmann,France,France national football team,Forward
Luuk de Jong,Switzerland,Netherlands national football team,Striker
Jesse Lingard,England,England national football team,Attacking midfielder
Wayne Rooney,England,EFL Championship,Forward
Kylian Mbapp¨¦,France,Paris Saint-Germain,Forward
James Rodr¨ªguez,Colombia,Al-Rayyan,"Attacking midfielder, winger"
Dennis Rodman,American,Brighton Bears,Power forward / Small forward
Wilt Chamberlain,American,Los Angeles Lakers,Center
Ben Simmons,Australian,Philadelphia 76ers,Point guard / Power forward
Magic Johnson,American,Magic Great Danes,Point guard
Carmelo Anthony,American,Los Angeles Lakers,Small forward / Power forward
Giannis Antetokounmpo,Greece,Milwaukee Bucks,Power forward / Small forward
Ben Wallace,American,Detroit Pistons,Center / Power forward
Kevin Durant,American,Brooklyn Nets,Small forward
Dwight Howard,American,Los Angeles Lakers,Center / Power forward
DeAndre Jordan,American,Los Angeles Lakers,Center
Kyrie Irving,American,Brooklyn Nets,Point guard
Chris Bosh,American,Miami Heat,Center / Power forward
Russell Westbrook,American,Los Angeles Lakers,Point guard
Rob Gronkowski,American,National Football League,Tight end
Shaun Alexander,American,Washington Redskins ,Running back
O. J. Simpson,American,National Football League,Running back
Jevon Kearse,American,Tennessee Titans,Defensive end
Trent Williams,American,San Francisco 49ers,Offensive tackle
Cam Newton,American,National Football League,Quarterback
Gale Sayers,American,Chicago Bears,Halfback
Taylor Heinicke,American,Washington Football Team,Quarterback
Jonathan Vilma,American,New Orleans Saints,Linebacker
Matthew Stafford,American,Los Angeles Rams,Quarterback
Trent Richardson,American,Caudillos de Chihuahua,Running back
Mac Jones,American,New England Patriots,Quarterback
Peyton Manning,American,National Football League,Quarterback
Jeff Garcia,American,Houston Texans,Quarterback
Trent Richardson,American,Caudillos de Chihuahua,Running back
Taylor Heinicke,American,St. Louis BattleHawks,Quarterback
Ben Wallace,American,Chicago Bulls,Power forward
Carmelo Anthony,American,Denver Nuggets;New York Knicks;Los Angeles Lakers,Small forward / Power forward
Wilt Chamberlain,American,Los Angeles Lakers;Philadelphia/San Francisco Warriors,Center
Dennis Rodman,American,Chicago Bulls;Los Angeles Lakers;San Antonio Spurs,Power forward / Small forward
Dwyane Wade,American,Miami Heat;Chicago Bulls;Cleveland Cavaliers,Shooting guard
Gareth Bale,Wales,Real Madrid;Tottenham Hotspur,Striker
Takehiro Tomiyasu,Japan, Arsenal;Bologna;Avispa Fukuoka,Centre-back
Wayne Rooney,England,Derby County; Manchester United;Everton,Forward
Drew Brees,American,New Orleans Saints;San Diego Chargers,Quarterback
Jesse Lingard,England,West Ham United;Manchester United,Attacking midfielder
Mohamed Salah,Egypt,Liverpool;Roma;Chelsea,Forward
Erling Haaland,England,Borussia Dortmund;Molde,Striker
Jimmy Greaves,England,Chelsea;Tottenham Hotspur,Striker
LeBron James,American,Los Angeles Lakers;Cleveland Cavaliers;Miami Heat,Small Forward/Power Forward
Harry Kane,England,Leicester City;Norwich City;Millwall,Striker
Radamel Falcao,Colombia, Rayo Vallecano;Galatasaray, Forward
James Rodríguez,Colombian,Al-Rayyan;Everton;Real Madrid,Attacking midfielder;Winger
Neymar,Brazil,Paris Saint-Germain;Barcelona;Santos,Forward
Gareth Bale,Wales,Real Madrid;Tottenham Hotspur,Striker
Memphis Depay,Netherlands,Barcelona;Lyon,Forward
Kevin Durant,American,Oklahoma City Thunder;Golden State Warriors;Brooklyn Nets,Small forward
Dwight Howard,American,Orlando Magic;Los Angeles Lakers;Houston Rockets,Center / Power forward


